Equipo,VL,DL,EL,VV,DV,EV,FAL_i,FDL_i,FAV_i,FDV_i
La Coruna,4,9,6,2,12,5,-0.2021758839528558,0.5566037735849059,-0.24528301886792447,0.5593834995466909
Malaga,4,12,3,1,16,2,-0.4922937443336355,0.2735849056603774,-0.5283018867924528,0.23300090661831385
Las Palmas,4,13,2,1,13,5,-0.45602901178603805,0.7924528301886793,-0.5754716981132075,0.3055303717135087
Rayo Vallecano,5,8,6,3,14,2,-0.09338168631006338,0.509433962264151,-0.24528301886792447,0.3780598368087036
Girona,11,18,9,12,16,10,-0.22030825022665457,0.179245283018868,0.03773584905660399,0.12420670897552144
Mallorca,8,8,3,1,15,3,-0.09338168631006338,0.03773584905660399,-0.2924528301886792,0.5593834995466909
Leganes,21,19,17,10,33,14,-0.3351465699607131,-0.04088050314465397,-0.2767295597484276,0.015412511332729029
Espanol,21,21,15,10,28,19,-0.23844061650045323,0.08490566037735858,-0.24528301886792447,-0.020852221214868516
Villarreal,33,21,22,28,30,18,0.1695376246600182,0.13207547169811318,0.179245283018868,-0.10244786944696282
Valencia,39,10,27,22,34,20,0.115140525838622,-0.20990566037735847,0.04952830188679247,0.015412511332729029
Sociedad,35,22,19,25,33,18,0.24206708975521307,0.061320754716981174,0.04952830188679247,-0.08431550317316405
Getafe,34,23,19,19,29,28,-0.1477787851314596,-0.3042452830188679,-0.20990566037735847,-0.19310970081595646
Barcelona,58,5,13,45,12,19,0.8132366273798732,-0.24528301886792447,0.8867924528301887,-0.3019038984587489
Ath Madrid,54,4,18,35,15,26,0.18766999093381687,-0.5283018867924528,0.179245283018868,-0.42883046237533995
Ath Bilbao,32,18,26,15,35,26,-0.13871260199456026,-0.19811320754716977,-0.12735849056603765,-0.03898458748866729
Alaves,29,26,21,18,46,12,-0.26563916591115133,0.014150943396226356,-0.19811320754716977,0.17860380779691765
Betis,37,21,18,22,37,17,0.09700815956482334,0.2382075471698113,-0.04481132075471683,0.06980961015412523
Cadiz,5,9,5,6,7,6,-0.3834995466908431,0.41509433962264164,-0.10377358490566035,0.015412511332729029
Levante,27,22,27,18,40,18,0.02447869446962847,0.3089622641509435,-0.021226415094339646,0.115140525838622
Valladolid,13,22,22,11,26,20,-0.35932305832577816,0.11635220125786172,-0.2924528301886792,-0.03294046539740103
Celta,30,22,24,14,38,24,0.06074342701722579,0.1556603773584906,0.02594339622641506,0.17860380779691765
Eibar,27,29,20,15,37,24,-0.1477787851314596,0.014150943396226356,-0.24528301886792447,0.10607434270172278
Elche,5,6,8,3,12,4,-0.34723481414324564,0.08490566037735858,-0.24528301886792447,0.16047144152311876
Huesca,10,15,13,4,22,12,-0.256572982774252,0.2028301886792454,-0.15094339622641506,0.21486854034451497
Osasuna,14,12,12,10,16,12,-0.1477787851314596,0.2264150943396228,-0.15094339622641506,-0.09338168631006338
Real Madrid,53,11,12,41,14,21,0.44152311876699923,-0.3042452830188679,0.591981132075472,-0.23844061650045323
Sevilla,47,13,16,30,29,17,0.115140525838622,-0.20990566037735847,0.1202830188679247,-0.04805077062556662
Granada,19,12,7,10,20,8,-0.07524932003626472,-0.03301886792452824,0.13207547169811318,0.2511332728921125
